ID,时间,分类,二级分类,类型,金额,币种,账户1,账户2,备注,已报销,手续费,优惠券,记账者,账单标记,标签,账单图片,关联账单
qj1773827972958161283,2026-03-18 17:59:18,日常生活,通勤,支出,5.53,CNY,2.工商绩效卡,,,,,,明月前身,,,,
qj1773815649506112043,2026-03-18 14:34:06,日常生活,通勤,支出,2.7,CNY,2.工商绩效卡,,,,,,明月前身,,,,
qj1773806807787196005,2026-03-18 12:06:43,日常生活,通勤,支出,7.63,CNY,2.工商绩效卡,,,,,,明月前身,,,,
qj17737727142952700,2026-03-18 11:00:00,股票基金,余额宝,收入,8.95,CNY,3.余额宝,,基金,,,,明月前身,,,,
qj1773795385046168684,2026-03-18 08:56:18,日常生活,通勤,支出,4.07,CNY,2.工商绩效卡,,,,,,明月前身,,,,
qj1773720186217145150,2026-03-17 12:03:00,日常生活,通勤,支出,8.45,CNY,微信钱包👛,,,,,,明月前身,,,,
qj17736861967094276,2026-03-17 11:00:00,股票基金,余额宝,收入,8.93,CNY,3.余额宝,,基金,,,,明月前身,,,,
qj1773707055581155595,2026-03-17 08:24:11,日常生活,通勤,支出,3.52,CNY,微信钱包👛,,,,,,明月前身,,,,
qj1773705071563162897,2026-03-17 07:50:58,其它,,转账,2500.0,CNY,1.徽商工资卡,3.余额宝,,,,,明月前身,,,,
qj1773655243355129094,2026-03-16 18:00:40,日常生活,通勤,支出,5.55,CNY,微信钱包👛,,,,,,明月前身,,,,
qj1773642941243107502,2026-03-16 14:35:38,日常生活,通勤,支出,2.7,CNY,微信钱包👛,,,,,,明月前身,,,,
qj1773634887375168431,2026-03-16 12:21:19,日常生活,通勤,支出,5.57,CNY,微信钱包👛,,,,,,明月前身,,,,
qj17736006278727608,2026-03-16 11:00:00,股票基金,余额宝,收入,8.95,CNY,3.余额宝,,基金,,,,明月前身,,,,
qj1773628692589106522,2026-03-16 10:38:07,工资,1.基本工资：徽商银行,收入,2550.4,CNY,1.徽商工资卡,,,,,,明月前身,,,,
